idx,gpu_tag,model,n_ctx,prompt_kind,seed,max_new,n_decoded,prefill_ms_measured,decode_ms_measured,decode_ms_modeled,decode_tps_measured,bytes_per_token,kv_tokens_final,kv_tier_final,ai_flop_per_byte,ridge_point,migrations,gpu
13,a100,smollm2-135m,4096,short,42,150,150,6.817714999897362,326.48237700004756,4.764113858865672,459.442869101563,108148729.6,186,HBM,2.4965619198544893,200.64308681672026,1,NVIDIA A100-SXM4-40GB
14,a100,smollm2-135m,4096,short,1337,150,150,6.2438350000775245,326.711639999985,9.528227717731344,459.1204647621581,108148729.6,186,HBM,2.4965619198544893,200.64308681672026,3,NVIDIA A100-SXM4-40GB
15,a100,smollm2-135m,4096,short,2024,150,150,6.229369000038787,325.54892400003155,14.292341576597014,460.76023891261724,108148729.6,186,HBM,2.4965619198544893,200.64308681672026,5,NVIDIA A100-SXM4-40GB
16,a100,smollm2-135m,4096,long,42,150,150,6.554294999887134,326.9058280000081,19.133931080597016,458.84773886624095,110068576.0,244,HBM,2.4530161996463007,200.64308681672026,7,NVIDIA A100-SXM4-40GB
17,a100,smollm2-135m,4096,long,1337,150,150,6.37716599999294,326.1786939999638,23.975520584597014,459.870625394118,110068576.0,244,HBM,2.4530161996463007,200.64308681672026,9,NVIDIA A100-SXM4-40GB
18,a100,smollm2-135m,4096,long,2024,150,150,7.757235000099172,328.1701930000054,28.817110088597016,457.0799030489571,110068576.0,244,HBM,2.4530161996463007,200.64308681672026,11,NVIDIA A100-SXM4-40GB
19,a100,tinyllama-1.1b,1024,short,42,150,150,6.757999999990716,349.9698260000059,29.981386201791043,428.60837951211676,671230131.2,179,SRAM,3.2775644264760917,200.64308681672026,0,NVIDIA A100-SXM4-40GB
20,a100,tinyllama-1.1b,1024,short,1337,150,150,4.934436999974423,349.62440999993305,59.962772403582086,429.0318287559748,671230131.2,179,SRAM,3.2775644264760917,200.64308681672026,0,NVIDIA A100-SXM4-40GB
21,a100,tinyllama-1.1b,1024,short,2024,150,150,4.9141289998715365,350.07175300006566,89.94415860537313,428.4835857635502,671230131.2,179,SRAM,3.2775644264760917,200.64308681672026,0,NVIDIA A100-SXM4-40GB
22,a100,tinyllama-1.1b,1024,long,42,150,150,5.798929000093267,353.8182780000625,119.99937696477612,423.94644179454605,673190217.3866667,241,HBM,3.268021345497903,200.64308681672026,1,NVIDIA A100-SXM4-40GB
23,a100,tinyllama-1.1b,1024,long,1337,150,150,5.119562000118094,352.64512599997033,150.0545953241791,425.3567933901137,673190217.3866667,241,HBM,3.268021345497903,200.64308681672026,3,NVIDIA A100-SXM4-40GB
24,a100,tinyllama-1.1b,1024,long,2024,150,150,5.061552999904961,353.663645999859,180.10981368358208,424.13180347086,673190217.3866667,241,HBM,3.268021345497903,200.64308681672026,5,NVIDIA A100-SXM4-40GB
25,a100,tinyllama-1.1b,2048,short,42,150,150,5.410400000073423,352.10827500009145,29.981386201791043,426.00532464044204,671230131.2,179,SRAM,3.2775644264760917,200.64308681672026,0,NVIDIA A100-SXM4-40GB
26,a100,tinyllama-1.1b,2048,short,1337,150,150,4.805063000048904,350.97577200008345,59.962772403582086,427.37992752378454,671230131.2,179,SRAM,3.2775644264760917,200.64308681672026,0,NVIDIA A100-SXM4-40GB
27,a100,tinyllama-1.1b,2048,short,2024,150,150,4.8546880000230885,351.9185620000371,89.94415860537313,426.2349764886348,671230131.2,179,SRAM,3.2775644264760917,200.64308681672026,0,NVIDIA A100-SXM4-40GB
28,a100,tinyllama-1.1b,2048,long,42,150,150,5.339843000001565,354.93124499998885,119.99937696477612,422.61706207354246,673190217.3866667,241,HBM,3.268021345497903,200.64308681672026,1,NVIDIA A100-SXM4-40GB
29,a100,tinyllama-1.1b,2048,long,1337,150,150,5.097069999919768,355.7095539999864,150.0545953241791,421.6923563430791,673190217.3866667,241,HBM,3.268021345497903,200.64308681672026,3,NVIDIA A100-SXM4-40GB
30,a100,tinyllama-1.1b,2048,long,2024,150,150,5.196321000084936,356.22895400001653,180.10981368358208,421.07750736059774,673190217.3866667,241,HBM,3.268021345497903,200.64308681672026,5,NVIDIA A100-SXM4-40GB
31,a100,tinyllama-1.1b,4096,short,42,150,150,5.3244319999521394,354.67069800006357,29.981386201791043,422.92752360380535,671230131.2,179,SRAM,3.2775644264760917,200.64308681672026,0,NVIDIA A100-SXM4-40GB
32,a100,tinyllama-1.1b,4096,short,1337,150,150,5.076422000001912,353.6994919998051,59.962772403582086,424.08881944360456,671230131.2,179,SRAM,3.2775644264760917,200.64308681672026,0,NVIDIA A100-SXM4-40GB
33,a100,tinyllama-1.1b,4096,short,2024,150,150,4.915123000046151,353.6274099999446,89.94415860537313,424.17526401594125,671230131.2,179,SRAM,3.2775644264760917,200.64308681672026,0,NVIDIA A100-SXM4-40GB
34,a100,tinyllama-1.1b,4096,long,42,150,150,5.287402000021757,357.101344000057,119.99937696477612,420.04882513121,673190217.3866667,241,HBM,3.268021345497903,200.64308681672026,1,NVIDIA A100-SXM4-40GB
35,a100,tinyllama-1.1b,4096,long,1337,150,150,6.1683110000103625,356.82278400008727,150.0545953241791,420.3767436553696,673190217.3866667,241,HBM,3.268021345497903,200.64308681672026,3,NVIDIA A100-SXM4-40GB
36,a100,tinyllama-1.1b,4096,long,2024,150,150,6.03038999997807,356.01835700003903,180.10981368358208,421.32658906682036,673190217.3866667,241,HBM,3.268021345497903,200.64308681672026,5,NVIDIA A100-SXM4-40GB
37,a100,llama-2-7b,1024,short,42,150,150,7.400137999866274,964.5881410001493,184.99692608955223,155.5067843198549,4132332019.2,170,HBM,3.2427210441319225,200.64308681672026,1,NVIDIA A100-SXM4-40GB
38,a100,llama-2-7b,1024,short,1337,150,150,10.095967000097517,956.637697999895,369.99385217910446,156.79917309720787,4132332019.2,170,HBM,3.2427210441319225,200.64308681672026,1,NVIDIA A100-SXM4-40GB
39,a100,llama-2-7b,1024,short,2024,150,150,10.242581000056816,960.4045250000581,554.9907782686566,156.18418707470263,4132332019.2,170,HBM,3.2427210441319225,200.64308681672026,1,NVIDIA A100-SXM4-40GB
40,a100,llama-2-7b,1024,long,42,150,150,10.792064000042956,974.8795610000798,741.4431904477611,153.86516037542378,4175998219.0933332,232,HBM,3.2088136289745175,200.64308681672026,1,NVIDIA A100-SXM4-40GB
41,a100,llama-2-7b,1024,long,1337,150,150,10.127235000027213,974.26855599997,927.8956026268656,153.96165572237211,4175998219.0933332,232,HBM,3.2088136289745175,200.64308681672026,1,NVIDIA A100-SXM4-40GB
42,a100,llama-2-7b,1024,long,2024,150,150,10.259242000074664,974.2118230001324,1114.34801480597,153.9706216437281,4175998219.0933332,232,HBM,3.2088136289745175,200.64308681672026,1,NVIDIA A100-SXM4-40GB
43,a100,llama-2-7b,2048,short,42,150,150,7.085573000040313,964.9960550000287,184.99692608955223,155.44104996366596,4132332019.2,170,HBM,3.2427210441319225,200.64308681672026,1,NVIDIA A100-SXM4-40GB
44,a100,llama-2-7b,2048,short,1337,150,150,10.110578999956488,965.4240859999845,369.99385217910446,155.37213352682232,4132332019.2,170,HBM,3.2427210441319225,200.64308681672026,1,NVIDIA A100-SXM4-40GB
45,a100,llama-2-7b,2048,short,2024,150,150,10.318183999970643,962.1919799999432,554.9907782686566,155.89404517797877,4132332019.2,170,HBM,3.2427210441319225,200.64308681672026,1,NVIDIA A100-SXM4-40GB
46,a100,llama-2-7b,2048,long,42,150,150,10.763816000007864,975.4095469997992,741.4431904477611,153.78155817869074,4175998219.0933332,232,HBM,3.2088136289745175,200.64308681672026,1,NVIDIA A100-SXM4-40GB
47,a100,llama-2-7b,2048,long,1337,150,150,10.293152000031114,974.1820120000284,927.8956026268656,153.97533330762798,4175998219.0933332,232,HBM,3.2088136289745175,200.64308681672026,1,NVIDIA A100-SXM4-40GB
48,a100,llama-2-7b,2048,long,2024,150,150,10.316352000018014,974.4836729998951,1114.34801480597,153.92766872967007,4175998219.0933332,232,HBM,3.2088136289745175,200.64308681672026,1,NVIDIA A100-SXM4-40GB
49,a100,llama-2-7b,4096,short,42,150,150,8.651702999941335,962.4748169999293,184.99692608955223,155.84823348163613,4132332019.2,170,HBM,3.2427210441319225,200.64308681672026,1,NVIDIA A100-SXM4-40GB
50,a100,llama-2-7b,4096,short,1337,150,150,10.260301000016625,960.8162189999803,369.99385217910446,156.11726471074806,4132332019.2,170,HBM,3.2427210441319225,200.64308681672026,1,NVIDIA A100-SXM4-40GB
51,a100,llama-2-7b,4096,short,2024,150,150,10.214978000021802,960.2713770000264,554.9907782686566,156.2058430488821,4132332019.2,170,HBM,3.2427210441319225,200.64308681672026,1,NVIDIA A100-SXM4-40GB
52,a100,llama-2-7b,4096,long,42,150,150,10.63132800004496,974.5753979998426,741.4431904477611,153.91318137914274,4175998219.0933332,232,HBM,3.2088136289745175,200.64308681672026,1,NVIDIA A100-SXM4-40GB
53,a100,llama-2-7b,4096,long,1337,150,150,10.311316000070292,974.3086480000329,927.8956026268656,153.95532032678307,4175998219.0933332,232,HBM,3.2088136289745175,200.64308681672026,1,NVIDIA A100-SXM4-40GB
54,a100,llama-2-7b,4096,long,2024,150,150,10.408124999912616,974.7133060000124,1114.34801480597,153.8914048640248,4175998219.0933332,232,HBM,3.2088136289745175,200.64308681672026,1,NVIDIA A100-SXM4-40GB
